what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1563128859422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1563128878328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1563128878328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1563128878721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1563128901252
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1563128922159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1563128923931
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1563128924037
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1563128924585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1563128927370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1563128930702
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type.in.hierarchy",1563128930723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1563128931884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1563128934056
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1563128935955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1563128936183
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1563128936202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1563128943909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1563128945504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1563128946685
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1563128946787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1563128947624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1563128947898
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1563128952289
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1563128952477
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1563128954954
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1563128955125
